Name,ID,typ,Cplx,CANidTX,CANidRX,a_pl,alpha_pl,p_pl,n_pl,delta_pl,a_dl,alpha_dl,p_dl,n_dl,delta_dl,jt,delta_j,Ujl,Ljl,m_pl,I_pl_xx,I_pl_xy,I_pl_xz,I_pl_yx,I_pl_yy,I_pl_yz,I_pl_zx,I_pl_zy,I_pl_zz,r_com_pl_x,r_com_pl_y,r_com_pl_z,m_dl,I_dl_xx,I_dl_xy,I_dl_xz,I_dl_yx,I_dl_yy,I_dl_yz,I_dl_zx,I_dl_zy,I_dl_zz,r_com_dl_x,r_com_dl_y,r_com_dl_z,Im,jbc,jbv,k_tau,k_r,tau_lim,curr_lim,dq_lim,ddq_lim,InputConnectorSize,OutputConnectorSize,encRes,currFactor
L_wrist_2,53,2,1,0,0,0,1.570796327,0.053,0.143,-1.570796327,0,0,0,0,0,0,0,0,0,0.53950206,0.00438405,-6E-08,-3E-08,-6E-08,0.0016211,-0.00088051,-3E-08,-0.00088051,0.00355573,0,-0.05793719,-0.00060975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
L_wrist_3,54,2,1,0,0,0,-1.570796327,-0.135,-0.053,0,0,0,0,0,-1.570796327,0,0,0,0,0.54109021,0.00808219,-3E-08,6E-08,-3E-08,0.00536142,0.00345633,6E-08,0.00345633,0.00351416,0,-0.05815117,0.08246352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
L_Rasmus_01_90_LL,55,2,1,0,0,0,-1.570796327,-0.1009,-0.0655,0,0,0,0,0,-1.570796327,0,0,0,0,0.58191,0.00488594,7.46E-06,-6.6E-06,7.46E-06,0.00345303,0.00171351,-6.6E-06,0.00171351,0.00307716,0.0002,-0.03656,0.05452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
L_Rasmus_02_90_SS,56,2,1,0,0,0.063,1.570796327,0.058,-0.06,-1.570796327,0,0,0,0,3.141592654,0,0,0,0,0.33789,0.0015534,0.0007772,-0.0006853,0.0007772,0.00182359,0.00052592,-0.0006853,0.00052592,0.00208937,-0.0436,0.0352,-0.02374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
L_360_350_LS,57,2,1,0,0,0.35,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.5916602,0.00553703,-2.48E-06,-0.01413661,-2.48E-06,0.09369026,-8.2E-07,-0.01413661,-8.2E-07,0.09071178,0.19612783,5.31E-06,0.0447784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
L_360_300_LS,58,2,1,0,0,0.3,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.5916602,0.00553703,-2.48E-06,-0.01413661,-2.48E-06,0.09369026,-8.2E-07,-0.01413661,-8.2E-07,0.09071178,0.19612783,5.31E-06,0.0447784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
B_simple,59,2,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_90,60,2,0,0,0,0,1.570796327,-0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E_Schimaneck,61,3,0,0,0,0,0,-0.121,0,0.052359878,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
E_Schunk,62,3,0,0,0,0,-1.570796327,-0.032,0.09,3.141592654,0,0,0,0,-1.570796327,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
