Name,ID,typ,Cplx,CANidTX,CANidRX,a_pl,alpha_pl,p_pl,n_pl,delta_pl,a_dl,alpha_dl,p_dl,n_dl,delta_dl,jt,delta_j,Ujl,Ljl,m_pl,I_pl_xx,I_pl_xy,I_pl_xz,I_pl_yx,I_pl_yy,I_pl_yz,I_pl_zx,I_pl_zy,I_pl_zz,r_com_pl_x,r_com_pl_y,r_com_pl_z,m_dl,I_dl_xx,I_dl_xy,I_dl_xz,I_dl_yx,I_dl_yy,I_dl_yz,I_dl_zx,I_dl_zy,I_dl_zz,r_com_dl_x,r_com_dl_y,r_com_dl_z,Im,jbc,jbv,k_tau,k_r,tau_lim,curr_lim,dq_lim,ddq_lim,InputConnectorSize,OutputConnectorSize,encRes,currFactor,collision_size_x,collision_size_y,collision_size_z,collision_pos_x,collision_pos_y,collision_pos_z
L_90S_250_LL,34,2,1,0,0,0,1.570796327,0.065,0.25,0,0,0,0,0,0,0,0,0,0,1.7089495,0.10368871,2.4e-06,-7.7e-07,2.4e-06,0.00638808,0.00409596,-7.7e-07,0.00409596,0.1003728,5.97e-06,-0.12505401,0.0257727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.111991547048092,0.208999998867512,0.305999826057054,0,0.0484999977052212,-0.152999813028526
L_90S_250_LS,35,2,1,0,0,0,1.570796327,0.065,0.25,0,0,0,0,0,0,0,0,0,0,1.6406895,0.09474015,2.35e-06,-7.9e-07,2.35e-06,0.0057847,0.00531963,-7.9e-07,0.00531963,0.09157253,6.15e-06,-0.12505401,0.02884953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.111991547048092,0.196999724954367,0.305999826057054,0,0.0545001346617937,-0.152999813028526
L_90S_250_SS,36,2,1,0,0,0,1.570796327,0.065,0.25,0,0,0,0,0,0,0,0,0,0,1.6160001,0.09464415,2.34e-06,-7.9e-07,2.34e-06,0.00559213,0.00535224,-7.9e-07,0.00535224,0.09132238,6.18e-06,-0.12505401,0.02892278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0879999995231628,0.19999973103404,0.293997417552568,0,0.0560001377016306,-0.146998608776283
L_90S_compact_LL,37,2,1,0,0,0.114,-1.570796327,-0.047,0.047,0,0,0,0,0,0,0,0,0,0,0.57851739,0.00206324,-0.00034007,-0.00159562,-0.00034007,0.00567603,-0.00013363,-0.00159562,-0.00013363,0.00478261,0.06001076,0.00526783,0.03968835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.227948639541864,0.114000000059605,0.11400000192225,-0.0569743197411299,0,-0.0470000011846423
L_90S_compact_LS,38,2,1,0,0,0.101,-1.570796327,-0.047,0.047,0,0,0,0,0,0,0,0,0,0,0.49978203,0.00158289,-0.00019851,-0.00104466,-0.00019851,0.00358538,-9.18e-05,-0.00104466,-9.18e-05,0.00306808,0.04710252,0.00439425,0.03788641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.20194560661912,0.090999998152256,0.11400000192225,-0.0569758396595716,0.00149999931454659,-0.0470000011846423
L_90S_compact_SS,39,2,1,0,0,0.088,-1.570796327,-0.047,0.047,0,0,0,0,0,0,0,0,0,0,0.42721733,0.00125908,-0.00016834,-0.00086879,-0.00016834,0.00276316,-9.07e-05,-0.00086879,-9.07e-05,0.00215127,0.04636373,0.00506804,0.03868014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.175996962934732,0.090999998152256,0.0909999981522563,-0.044001517817378,0.00149999931454659,-0.0454999990761279
L_360_600_LL,40,2,1,0,0,0.6,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.743,0.00566908,1.08e-06,-0.02087127,1.08e-06,0.2331516,-3.4e-07,-0.02087127,-3.4e-07,0.23059721,0.30000221,2.31e-06,0.04375652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.711779616773129,0.111989088356495,0.0890000015497208,-0.300000000745058,0,-0.0445000007748604
L_360_600_LS,41,2,1,0,0,0.6,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.649,0.00541576,4e-07,-0.02034341,4e-07,0.21944801,-3.5e-07,-0.02034341,-3.5e-07,0.21669424,0.29272128,3.09e-06,0.04414505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.699887324124575,0.11196793243289,0.0890000015497208,-0.305946147069335,-1.05779618024826e-05,-0.0445000007748604
L_360_600_SS,42,2,1,0,0,0.6,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,2.2391716,0.00777604,-4.26e-06,-0.03072368,-4.26e-06,0.28765919,-8.2e-07,-0.03072368,-8.2e-07,0.2830404,0.29993465,3.82e-06,0.04566655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.687995005398989,0.0879284888505936,0.0890000015497208,-0.299999987706542,0,-0.0445000007748604
L_360_400_LL,43,2,1,0,0,0.4,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.61566906,0.0057238,-2.41e-06,-0.01438049,-2.41e-06,0.09865532,-8.2e-07,-0.01438049,-8.2e-07,0.09583994,0.19995997,5.17e-06,0.04443478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.511779628694057,0.111989088356495,0.0890000015497208,-0.200000006705523,0,-0.0445000007748604
L_360_400_LS,44,2,1,0,0,0.4,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.5916602,0.00553703,-2.48e-06,-0.01413661,-2.48e-06,0.09369026,-8.2e-07,-0.01413661,-8.2e-07,0.09071178,0.19612783,5.31e-06,0.0447784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.499887336045504,0.11196793243289,0.0890000015497212,-0.205946153029799,-1.05779618024826e-05,-0.0445000007748601
L_360_400_SS,45,2,1,0,0,0.4,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.5676562,0.00534415,-2.47e-06,-0.01417256,-2.47e-06,0.09359725,-8.2e-07,-0.01417256,-8.2e-07,0.09046184,0.19995758,5.46e-06,0.04509536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.487995017319918,0.0879284888505936,0.0890000015497214,-0.199999993667006,0,-0.0445000007748601
L_360_250_LL,46,2,1,0,0,0.25,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.61566906,0.0057238,-2.41e-06,-0.01438049,-2.41e-06,0.09865532,-8.2e-07,-0.01438049,-8.2e-07,0.09583994,0.12595997,5.17e-06,0.04443478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.361999858170748,0.111960507929325,0.090999998152256,-0.125000005587935,0,-0.045499999076128
L_360_250_LS,47,2,1,0,0,0.25,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.5916602,0.00553703,-2.48e-06,-0.01413661,-2.48e-06,0.09369026,-8.2e-07,-0.01413661,-8.2e-07,0.09071178,0.12595997,5.31e-06,0.0447784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.34999443590641,0.111960507929325,0.0909999981522565,-0.131002716720104,0,-0.0454999990761278
L_360_250_SS,48,2,1,0,0,0.25,3.141592654,0,0,0,0,0,0,0,0,0,0,0,0,1.5676562,0.00534415,-2.47e-06,-0.01417256,-2.47e-06,0.09359725,-8.2e-07,-0.01417256,-8.2e-07,0.09046184,0.12595997,5.46e-06,0.04509536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.337988987565041,0.0879959985613823,0.0890000015497214,-0.124999992549419,0,-0.0445000007748601
L_360_compact_LL,49,2,1,0,0,0.117,3.141592654,0,0,1.570796327,0,0,0,0,-1.570796327,0,0,0,0,0.68000833,0.00230747,5e-08,-0.00156091,5e-08,0.00584987,0,-0.00156091,0,0.0056393,0.06086061,0,0.03638426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.112000003457069,0.228999935090542,0.0879999995231634,0,-0.0584999658167362,-0.0439999997615811
L_360_compact_LS,50,2,1,0,0,0.105,3.141592654,0,0,1.570796327,0,0,0,0,-1.570796327,0,0,0,0,0.57009144,0.00176614,3e-08,-0.0011492,3e-08,0.00405972,0,-0.0011492,0,0.00369502,0.05163247,0,0.03650331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.112000003457069,0.204946506768465,0.0879999995231632,0,-0.0584762897342443,-0.0439999997615812
