Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
51	-95.666664	18.437881	-1.0	-100.0	0.033333335	0.033333335	0.0	-16.0	0.0	-16.0	-16.0	94.7	17.0	99	-7.031554	4.96237	0.01152591	-21.888273	-7.0317855	4.9609585	0.011606578	-21.870317	-3.2675774	1.2176956	2.0209422	-10.426321	6.401055	0.8278138	40122.128813028336
52	-98.833336	5.0072165	-73.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	97.833336	100.0	99	-6.914827	4.966304	0.01822833	-21.57271	-6.9146857	4.96535	0.023261301	-21.805958	-3.2282941	1.2344229	2.199772	-11.779625	6.272706	0.7740506	40902.21932053566
53	-98.46667	8.257253	-54.0	-100.0	0.033333335	0.0	0.0	-100.0	0.0	-100.0	-100.0	97.5	100.0	99	-6.839487	4.95947	-0.018789131	-21.813648	-6.8399644	4.957802	0.0063764304	-21.883528	-3.2021534	1.2498081	2.1293478	-11.325945	6.192284	0.7421096	41680.76288175583
54	-94.8	19.74403	-9.0	-100.0	0.033333335	0.033333335	0.0	-67.0	0.0	-67.0	-67.0	93.833336	67.0	99	-6.706918	4.9111686	0.016202334	-22.942333	-6.7069163	4.909769	0.007878255	-22.315777	-3.2214167	1.2406533	2.4402628	-10.935819	6.0606503	0.732901	42424.394188165665
55	-90.566666	23.1541	-8.0	-100.0	0.06666667	0.1	0.0	-100.0	0.0	-100.0	-100.0	89.63333	100.0	99	-6.5939713	4.872775	-0.004437823	-22.205872	-6.5943007	4.871143	0.0072402693	-22.126589	-3.2055295	1.2452515	3.3660498	-11.009537	5.9426937	0.7157775	43147.416931152344
56	-96.96667	16.335001	-9.0	-100.0	0.0	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	95.96667	100.0	99	-6.534418	4.834727	-0.0003502518	-22.119068	-6.534131	4.833739	0.012846742	-22.680546	-3.2225146	1.2404716	2.6714916	-10.90153	5.886559	0.7075574	43915.136642456055
57	-94.46667	18.489159	-8.0	-100.0	0.033333335	0.1	0.033333335	-10.0	0.0	-10.0	-10.0	93.5	11.0	99	-6.4819264	4.75656	0.0013396069	-22.291643	-6.4819765	4.7549996	-0.005969595	-22.266386	-3.2352223	1.2323046	2.2006674	-11.021797	5.835774	0.7071521	44643.78933620453
58	-100.0	0.0	-100.0	-100.0	0.0	0.0	0.0	-100.0	0.0	-100.0	-100.0	99.0	100.0	99	-6.419514	4.6876826	-0.015434403	-21.993507	-6.419686	4.686995	0.017597891	-21.825253	-3.2585309	1.2254926	1.8759775	-11.899712	5.7760525	0.7107442	45432.557636260986
59	-97.933334	7.8014245	-65.0	-100.0	0.06666667	0.0	0.0	-100.0	0.0	-100.0	-100.0	97.0	100.0	99	-6.3905377	4.6333966	0.017455034	-21.960808	-6.390529	4.632086	0.008071199	-21.948181	-3.2687178	1.2146754	2.0657558	-12.228636	5.7509604	0.7008639	46206.27199912071
60	-93.933334	22.699387	-9.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	92.933334	100.0	8	-6.367301	4.592682	0.01674693	-21.54902	-6.367165	4.591461	0.01966878	-21.38075	-3.2504044	1.2278274	2.5113325	-12.0872345	5.7239404	0.6917402	46951.49144935608
61	-96.96667	16.335001	-9.0	-100.0	0.0	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	95.96667	100.0	99	-6.329382	4.5729914	-0.0138190985	-21.447144	-6.329758	4.570778	0.0012257025	-21.656013	-3.2598226	1.218584	3.2683392	-11.480077	5.6887712	0.6857883	47718.20896935463
62	-97.73333	12.206374	-32.0	-100.0	0.033333335	0.0	0.0	-100.0	0.0	-100.0	-100.0	96.76667	100.0	99	-6.27984	4.52376	0.018004283	-22.051733	-6.2797136	4.522277	0.0062846914	-21.52359	-3.2398062	1.230278	2.9470663	-12.465239	5.6339493	0.66763777	48493.312581539154
63	-95.066666	19.099623	-7.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	94.066666	100.0	99	-6.2619505	4.4995275	0.010876313	-21.129326	-6.2617607	4.4977374	0.014079116	-21.165304	-3.2604177	1.2243809	2.0993862	-11.093425	5.6215515	0.6848811	49246.402755498886
