Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
38	-80.433334	30.532694	-10.0	-100.0	0.13333334	0.23333333	0.13333334	-100.0	0.0	-100.0	-100.0	79.566666	100.0	99	-7.003115	5.6632953	-0.09490779	-21.070309	-7.0031657	5.66364	-0.13532653	-20.938377	-3.3169277	1.18937	1.3510971	-11.52561	6.3728495	0.50699466	22507.035900831223
39	-85.13333	29.57897	-7.0	-100.0	0.1	0.16666667	0.16666667	-100.0	0.0	-100.0	-100.0	84.23333	100.0	99	-7.0161366	5.655753	-0.081308536	-21.189543	-7.016381	5.6554685	-0.123309	-21.311604	-3.3124602	1.1821374	1.0309677	-12.410649	6.388015	0.5221372	23183.47731947899
40	-86.36667	26.108086	-15.0	-100.0	0.13333334	0.13333334	0.06666667	-40.0	0.0	-40.0	-40.0	85.5	41.0	99	-6.9742603	5.62403	-0.08092725	-21.547693	-6.9748054	5.6231966	-0.13963811	-21.430086	-3.3056405	1.1957586	1.1161337	-11.620903	6.3518934	0.5318555	23864.67533683777
41	-77.8	33.65551	-8.0	-100.0	0.13333334	0.26666668	0.2	-100.0	0.0	-100.0	-100.0	76.933334	100.0	99	-6.936263	5.6126113	-0.07689488	-21.914526	-6.935744	5.6128306	-0.12388754	-21.757935	-3.2853642	1.1965568	1.2041426	-11.179707	6.31749	0.5358703	24495.752055883408
42	-83.566666	27.611212	-10.0	-100.0	0.2	0.13333334	0.13333334	-25.0	0.0	-25.0	-25.0	82.76667	26.0	99	-6.898068	5.617802	-0.0778538	-21.743645	-6.898212	5.617264	-0.13195223	-21.785614	-3.2712824	1.2095519	1.3658867	-11.229391	6.2754664	0.5351066	25153.934403181076
43	-69.23333	29.346985	-21.0	-100.0	0.26666668	0.33333334	0.26666668	-100.0	0.0	-100.0	-100.0	68.5	100.0	99	-6.8552833	5.5857353	-0.07831584	-22.382553	-6.8553557	5.584982	-0.12611228	-22.185642	-3.2653313	1.2165397	1.1060905	-11.712232	6.233403	0.5348092	25727.178587436676
44	-91.63333	17.896896	-31.0	-100.0	0.23333333	0.033333335	0.0	-20.0	0.0	-20.0	-20.0	90.86667	21.0	99	-6.852115	5.5732365	-0.07415877	-22.366919	-6.8518515	5.5731945	-0.14237091	-22.365284	-3.2942665	1.191926	1.7862344	-11.873943	6.2365985	0.54002285	26442.522022247314
45	-68.066666	37.482384	-7.0	-100.0	0.1	0.36666667	0.3	-24.0	0.0	-24.0	-24.0	67.166664	25.0	11	-6.827326	5.543257	-0.07266284	-23.25643	-6.8275666	5.5427895	-0.13908708	-23.172718	-3.2681823	1.2044504	1.6666837	-11.250191	6.215143	0.554811	26990.97363948822
46	-83.1	23.93512	-29.0	-100.0	0.2	0.2	0.2	-20.0	0.0	-20.0	-20.0	82.3	21.0	59	-6.825437	5.5523596	-0.07170305	-22.98627	-6.825153	5.552319	-0.138117	-22.942743	-3.2644427	1.211206	1.4979043	-12.852945	6.2118816	0.55717915	27645.539387226105
47	-78.13333	29.276535	-9.0	-100.0	0.3	0.2	0.2	-100.0	0.0	-100.0	-100.0	77.433334	100.0	99	-6.772423	5.510026	-0.06869884	-23.510513	-6.772607	5.509791	-0.13388948	-23.258251	-3.2807906	1.2056746	1.655529	-11.136038	6.165301	0.5536722	28281.394755601883
48	-74.53333	35.672333	-7.0	-100.0	0.2	0.26666668	0.23333333	-100.0	0.0	-100.0	-100.0	73.73333	100.0	99	-6.8052874	5.5457015	-0.07536408	-23.883635	-6.8058505	5.54557	-0.12185842	-23.717627	-3.263584	1.204671	1.0818243	-11.826435	6.1986027	0.56377286	28891.416393756866
49	-69.8	35.668285	-7.0	-100.0	0.16666667	0.33333334	0.26666668	-100.0	0.0	-100.0	-100.0	68.96667	100.0	99	-6.8034863	5.5234027	-0.07166566	-23.720982	-6.803411	5.523	-0.12381965	-24.273012	-3.2469199	1.2156862	1.2436523	-11.224812	6.195447	0.5663796	29468.555619955063
50	-71.86667	32.708546	-8.0	-100.0	0.3	0.26666668	0.26666668	-100.0	0.0	-100.0	-100.0	71.166664	100.0	89	-6.794607	5.5102553	-0.07665618	-24.092978	-6.794945	5.5100784	-0.12735756	-24.634338	-3.236422	1.2190458	1.0749521	-11.4475155	6.188706	0.5768735	30065.236697673798
51	-76.1	30.525784	-7.0	-100.0	0.23333333	0.23333333	0.16666667	-90.0	0.0	-90.0	-90.0	75.333336	91.0	77	-6.8098483	5.488693	-0.0715861	-24.382788	-6.8095336	5.489467	-0.13042167	-24.657644	-3.2335126	1.2174779	1.2871885	-10.645577	6.207415	0.58526593	30687.050783872604
52	-77.5	27.356596	-8.0	-100.0	0.46666667	0.16666667	0.16666667	-21.0	0.0	-21.0	-21.0	76.96667	22.0	24	-6.75035	5.429708	-0.068377696	-24.605288	-6.7505937	5.4293184	-0.11550653	-25.317562	-3.2137084	1.2296724	1.246768	-12.173996	6.1442213	0.5606628	31306.57571363449
53	-74.1	29.269268	-10.0	-100.0	0.46666667	0.16666667	0.13333334	-100.0	0.0	-100.0	-100.0	73.566666	100.0	32	-6.7484627	5.4371324	-0.06647844	-24.941586	-6.748546	5.4368753	-0.1172035	-25.60011	-3.2207289	1.2303454	1.1758718	-12.945457	6.1455846	0.5745907	31920.647920131683
54	-77.46667	29.129293	-9.0	-100.0	0.3	0.23333333	0.16666667	-10.0	0.0	-10.0	-10.0	76.76667	10.0	99	-6.733386	5.4482107	-0.077899486	-24.929035	-6.7333984	5.4479294	-0.105616555	-25.252373	-3.2216768	1.2221104	0.7911329	-10.963528	6.1346836	0.575227	32535.81444334984
55	-71.26667	28.360695	-9.0	-100.0	0.4	0.26666668	0.16666667	-100.0	0.0	-100.0	-100.0	70.666664	100.0	40	-6.732764	5.4459047	-0.06904851	-25.391035	-6.7327695	5.4458942	-0.0936057	-25.412703	-3.2093425	1.2286297	0.9470911	-10.98308	6.133308	0.5719937	33129.8270277977
56	-73.166664	30.695366	-9.0	-100.0	0.23333333	0.26666668	0.16666667	-42.0	0.0	-42.0	-42.0	72.4	43.0	58	-6.7175584	5.433809	-0.06867696	-25.539705	-6.7176666	5.4340057	-0.10377609	-25.42981	-3.2246497	1.22283	1.4627914	-10.906528	6.1162696	0.56630105	33721.824308395386
57	-69.166664	32.93234	-6.0	-100.0	0.33333334	0.26666668	0.26666668	-100.0	0.0	-100.0	-100.0	68.5	100.0	73	-6.7041583	5.4056234	-0.08227561	-25.681166	-6.70404	5.4054713	-0.11742847	-25.92885	-3.209956	1.2255044	0.7596483	-11.027286	6.1045876	0.574643	34298.51854252815
58	-71.933334	31.949892	-6.0	-100.0	0.4	0.2	0.13333334	-7.0	0.0	-7.0	-7.0	71.333336	8.0	60	-6.6446133	5.36239	-0.07382627	-26.442734	-6.6442738	5.362391	-0.117201656	-26.136074	-3.2218525	1.2212383	0.8845568	-10.744749	6.049917	0.59112984	34873.62058568001
59	-91.3	18.9458	-16.0	-100.0	0.2	0.06666667	0.06666667	-19.0	0.0	-19.0	-19.0	90.5	19.0	64	-6.63927	5.345904	-0.06902227	-26.94004	-6.6395307	5.3461437	-0.0737221	-26.704153	-3.2284338	1.218032	0.9486904	-10.88036	6.0489836	0.58036536	35586.27226114273
60	-80.166664	29.738956	-9.0	-100.0	0.13333334	0.3	0.2	-13.0	0.0	-13.0	-13.0	79.3	14.0	99	-6.64869	5.3424945	-0.07091506	-26.677303	-6.6485353	5.3422513	-0.084583506	-26.556227	-3.1924639	1.2418054	1.1533289	-11.296019	6.054489	0.58490694	36218.93145251274
61	-87.2	23.87942	-1.0	-100.0	0.23333333	0.1	0.033333335	-100.0	0.0	-100.0	-100.0	86.433334	100.0	99	-6.6095753	5.3474483	-0.06501923	-27.387268	-6.609659	5.3477902	-0.093941376	-26.972803	-3.2007039	1.2336442	1.4061012	-11.858543	6.0160036	0.58668464	36921.1417529583
62	-81.13333	24.064821	-23.0	-100.0	0.33333334	0.13333334	0.1	-21.0	0.0	-21.0	-21.0	80.46667	21.0	77	-6.61746	5.309911	-0.06472684	-27.815321	-6.617403	5.3098173	-0.09536024	-27.103825	-3.174208	1.2465196	1.0079098	-11.124142	6.024013	0.57617044	37565.543312072754
