Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
43	-14.466666	16.528225	-5.0	-100.0	0.0	0.96666664	0.9	-6.0	0.0	-6.0	-6.0	13.466666	6.0	14	-4.931754	4.5528326	-0.09699753	-17.739132	-4.9319525	4.551972	-0.07092205	-17.823093	-3.4514856	1.0767331	2.5719957	-10.487806	4.2281346	0.492198	9538.945079803467
44	-10.566667	4.7517247	-5.0	-26.0	0.0	1.0	0.96666664	-5.0	0.0	-5.0	-5.0	9.566667	5.0	7	-4.861848	4.5162363	-0.086303666	-18.1418	-4.8616652	4.5155997	-0.05259203	-18.142971	-3.437212	1.0788329	1.865283	-10.6946945	4.1550455	0.46331802	9674.514524459839
45	-13.566667	16.361914	-6.0	-100.0	0.0	0.96666664	0.96666664	-5.0	0.0	-5.0	-5.0	12.566667	5.0	9	-4.823299	4.458133	-0.08299413	-18.399357	-4.8233933	4.4569488	-0.07237489	-18.212952	-3.4390547	1.0695928	1.9103069	-10.887516	4.1179914	0.46418238	9831.447218418121
46	-9.666667	3.571492	-5.0	-22.0	0.0	1.0	1.0	-7.0	0.0	-7.0	-7.0	8.666667	7.0	13	-4.7287064	4.36841	-0.0789053	-18.213684	-4.7290535	4.367752	-0.06770787	-18.359379	-3.4402833	1.0686985	1.8824997	-10.972279	4.0216217	0.44487712	9960.340045452118
47	-13.066667	16.701164	-1.0	-100.0	0.0	0.96666664	0.8666667	-6.0	0.0	-6.0	-6.0	12.066667	6.0	8	-4.678783	4.280771	-0.06826378	-18.2035	-4.6789556	4.279928	-0.06799507	-18.269882	-3.4373767	1.0670332	0.94236183	-10.507362	3.9740608	0.44725618	10115.33915090561
48	-16.5	22.688837	-6.0	-100.0	0.0	0.93333334	0.8	-6.0	0.0	-6.0	-6.0	15.5	6.0	8	-4.587321	4.1798234	-0.06854968	-18.682175	-4.5870957	4.1794243	-0.067692526	-18.346052	-3.4357028	1.0685885	1.1463957	-11.001164	3.877946	0.43301448	10292.869689702988
49	-10.133333	3.748185	-6.0	-20.0	0.0	1.0	0.96666664	-5.0	0.0	-5.0	-5.0	9.133333	5.0	8	-4.5277553	4.114105	-0.06914823	-18.642296	-4.5278344	4.1134224	-0.056409925	-18.251213	-3.4452176	1.0618095	1.716425	-10.624149	3.8236654	0.42262608	10423.743091106415
50	-13.733334	16.623142	-6.0	-100.0	0.0	0.96666664	0.96666664	-5.0	0.0	-5.0	-5.0	12.733334	5.0	7	-4.4843535	4.052635	-0.06533901	-18.27915	-4.484545	4.052332	-0.07109585	-18.063435	-3.4482064	1.0546131	1.0404387	-10.825331	3.7813034	0.42599338	10583.297311782837
51	-12.633333	4.750322	-6.0	-26.0	0.0	1.0	0.96666664	-7.0	0.0	-7.0	-7.0	11.633333	7.0	14	-4.4701667	4.022658	-0.05568854	-18.047089	-4.4698915	4.0215206	-0.056277953	-18.225384	-3.461131	1.0490533	1.1102238	-11.062158	3.7669954	0.41341493	10732.72871541977
52	-11.633333	4.4831786	-7.0	-27.0	0.0	1.0	0.96666664	-6.0	0.0	-6.0	-6.0	10.633333	6.0	15	-4.451686	4.0130353	-0.05770351	-18.16291	-4.4517875	4.012653	-0.05959852	-17.882969	-3.476828	1.0397085	1.2905493	-11.118401	3.7525606	0.4149086	10874.369353055954
53	-19.1	22.875532	-4.0	-100.0	0.0	0.93333334	0.9	-7.0	0.0	-7.0	-7.0	18.1	7.0	7	-4.452778	4.025987	-0.054721694	-18.265661	-4.4532866	4.0253754	-0.057321936	-17.937836	-3.4730635	1.0480341	1.38836	-11.424656	3.7550151	0.42273057	11069.036682128906
